countyFIPS,State,County,Urban Influence Code 2013,Poverty Num All Ages 2018,Poverty Pct All Ages 2018,Poverty Num Ages 0-17 2018,Poverty Pct Ages 0-17 2018,Poverty Num Ages 5-17 2018,Poverty Pct Ages 5-17 2018,Median Household Income 2018
01001,AL,Autauga County,2.0,7587,13.8,2509,19.3,1891,19.5,59338
01003,AL,Baldwin County,2.0,21069,9.8,6442,13.9,4534,13.1,57588
01005,AL,Barbour County,6.0,6788,30.9,2242,43.9,1411,36.7,34382
01007,AL,Bibb County,1.0,4400,21.8,1238,27.8,840,26.3,46064
01009,AL,Blount County,1.0,7527,13.2,2374,18.0,1520,15.5,50412
01011,AL,Bullock County,6.0,3610,42.5,1433,68.3,1005,66.5,29267
01013,AL,Butler County,6.0,4731,24.5,1566,36.3,1131,35.3,37365
01015,AL,Calhoun County,2.0,21719,19.5,6397,26.5,4265,24.1,45400
01017,AL,Chambers County,5.0,6181,18.7,2103,30.7,1506,30.3,39917
01019,AL,Cherokee County,6.0,4180,16.3,1215,24.7,830,22.2,42132
01021,AL,Chilton County,1.0,7542,17.3,2401,23.3,1730,22.7,47547
01023,AL,Choctaw County,10.0,2806,22.1,813,32.1,546,29.2,39907
01025,AL,Clarke County,11.0,5381,22.8,1625,31.7,1185,31.4,40741
01027,AL,Clay County,10.0,2285,17.6,684,25.8,493,25.0,39201
01029,AL,Cleburne County,4.0,2356,16.0,764,22.9,563,22.9,46495
01031,AL,Coffee County,5.0,7053,13.8,2640,21.9,1794,20.1,55122
01033,AL,Colbert County,2.0,7459,13.8,2345,21.0,1567,19.3,49055
01035,AL,Conecuh County,11.0,2979,24.4,1005,40.1,728,38.9,32613
01037,AL,Coosa County,3.0,1973,18.9,526,30.1,385,30.5,42423
01039,AL,Covington County,6.0,7239,19.9,2341,29.5,1745,30.2,40203
01041,AL,Crenshaw County,6.0,2661,19.5,957,30.8,681,29.3,39057
01043,AL,Cullman County,3.0,11925,14.5,3604,19.7,2624,19.8,45796
01045,AL,Dale County,5.0,7743,16.2,2698,24.4,1911,24.4,45309
01047,AL,Dallas County,5.0,11841,31.4,4295,48.0,3013,45.3,34035
01049,AL,DeKalb County,6.0,14975,21.3,4990,29.6,3773,29.6,39491
